,Matrix,Size,Density,Tolerance,Method,Relative error,Time,Iterations
41,vem1.mtx,2825761,0.004736777101814343,1e-08,Gauss-Seidel,3.517456996804461e-07,194.8304009437561,1778
42,vem1.mtx,2825761,0.004736777101814343,1e-08,Gradient,2.69533741911619e-07,0.1471729278564453,2336
43,vem1.mtx,2825761,0.004736777101814343,1e-08,Conjugate Gradient,2.8318734398168693e-09,0.004425764083862305,53
44,vem1.mtx,2825761,0.004736777101814343,1e-10,Jacobi,3.539458745046825e-09,21.65833044052124,4671
45,vem1.mtx,2825761,0.004736777101814343,1e-10,Gauss-Seidel,3.508242322543687e-09,255.6368284225464,2338
46,vem1.mtx,2825761,0.004736777101814343,1e-10,Gradient,2.713166874216703e-09,0.1663837432861328,3058
47,vem1.mtx,2825761,0.004736777101814343,1e-10,Conjugate Gradient,2.191751796245848e-11,0.004800319671630859,59
48,vem2.mtx,6765201,0.0031373790667860424,0.0001,Jacobi,0.004968461406195917,21.18421173095703,1927
49,vem2.mtx,6765201,0.0031373790667860424,0.0001,Gauss-Seidel,0.004951189291546085,166.58563446998596,965
50,vem2.mtx,6765201,0.0031373790667860424,0.0001,Gradient,0.0038119295293938373,0.10074043273925781,1308
51,vem2.mtx,6765201,0.0031373790667860424,0.0001,Conjugate Gradient,5.729017222235908e-05,0.005011796951293945,47
52,vem2.mtx,6765201,0.0031373790667860424,1e-06,Jacobi,4.9670344320611774e-05,41.43201565742493,3676
53,vem2.mtx,6765201,0.0031373790667860424,1e-06,Gauss-Seidel,4.9417612682487994e-05,320.5973687171936,1840
54,vem2.mtx,6765201,0.0031373790667860424,1e-06,Gradient,3.791418978880894e-05,0.18169164657592773,2438
55,vem2.mtx,6765201,0.0031373790667860424,1e-06,Conjugate Gradient,4.7429962833565076e-07,0.006872653961181641,56
56,vem2.mtx,6765201,0.0031373790667860424,1e-08,Jacobi,4.965607902481058e-07,60.71735453605652,5425
57,vem2.mtx,6765201,0.0031373790667860424,1e-08,Gauss-Seidel,4.958369689706862e-07,467.1627311706543,2714
58,vem2.mtx,6765201,0.0031373790667860424,1e-08,Gradient,3.809850623663889e-07,0.24314260482788086,3566
59,vem2.mtx,6765201,0.0031373790667860424,1e-08,Conjugate Gradient,4.299983499500873e-09,0.007088899612426758,66
60,vem2.mtx,6765201,0.0031373790667860424,1e-10,Jacobi,4.964185220415289e-09,80.66046857833862,7174
61,vem2.mtx,6765201,0.0031373790667860424,1e-10,Gauss-Seidel,4.948912856957899e-09,633.3591623306274,3589
62,vem2.mtx,6765201,0.0031373790667860424,1e-10,Gradient,3.798767935221748e-09,0.3211958408355713,4696
63,vem2.mtx,6765201,0.0031373790667860424,1e-10,Conjugate Gradient,2.2476276371368195e-11,0.008963584899902344,74
